time,tier,direction,entry,exit,pips,result,spread,slippage,in_sample
2026-06-11 07:18,Tier2Tactical,SELL,4081.92,4101.92,-20,LOSS,0.37,0.001,1
2026-06-11 09:03,Tier2Tactical,SELL,4088.49,4108.49,-20,LOSS,0.64,0.001,1
2026-06-11 14:03,Tier2Tactical,SELL,4088.4,4064.4,24,WIN,0.3,0.001,1
2026-06-23 11:36,Tier2Tactical,SELL,4103.9,4123.9,-20,LOSS,0.4,0.001,1
2026-06-24 18:57,Tier2Tactical,SELL,4002.32,4022.32,-20,LOSS,0.47,0.001,1
2026-06-24 21:12,Tier2Tactical,SELL,3988.28,3988.28,0,PENDING,0.63,0.001,1
2026-06-24 23:42,Tier2Tactical,BUY,3998.86,3978.86,-20,LOSS,0.2,0.001,1
2026-06-25 05:33,Tier2Tactical,BUY,3981.31,3981.31,0,PENDING,0.53,0.001,1
2026-06-25 05:48,Tier2Tactical,BUY,3983.31,3983.31,0,PENDING,0.5,0.001,1
2026-06-25 07:18,Tier2Tactical,BUY,3990.61,3990.61,0,PENDING,0.21,0.001,1
2026-06-25 08:18,Tier2Tactical,BUY,3993.49,3973.49,-20,LOSS,0.49,0.001,1
2026-06-25 09:33,Tier2Tactical,SELL,3981.58,4001.58,-20,LOSS,0.29,0.001,1
2026-06-25 13:48,Tier2Tactical,BUY,3983.38,4007.38,24,WIN,0.25,0.001,1
2026-06-25 18:03,Tier2Tactical,SELL,4012.05,4032.05,-20,LOSS,0.71,0.001,1
2026-06-25 20:33,Tier2Tactical,SELL,4031.01,4031.01,0,PENDING,0.27,0.001,1
2026-06-26 03:39,Tier2Tactical,BUY,4017.75,3997.75,-20,LOSS,0.26,0.001,1
2026-06-26 03:54,Tier2Tactical,BUY,4020.07,4000.07,-20,LOSS,0.48,0.001,1
2026-06-26 06:09,Tier2Tactical,BUY,3993.79,4017.79,24,WIN,0.45,0.001,1
2026-06-26 08:09,Tier2Tactical,BUY,4012.98,4036.98,24,WIN,0.22,0.001,1
2026-06-26 08:24,Tier2Tactical,BUY,4013.47,4037.47,24,WIN,0.28,0.001,1
2026-06-26 09:39,Tier2Tactical,BUY,4024.57,4048.57,24,WIN,0.24,0.001,1
2026-06-26 10:54,Tier2Tactical,BUY,4031.16,4031.16,0,PENDING,0.17,0.001,1
2026-06-26 11:39,Tier2Tactical,BUY,4034.21,4034.21,0,PENDING,0.25,0.001,1
2026-06-26 15:54,Tier2Tactical,SELL,4046.56,4066.56,-20,LOSS,0.41,0.001,1
2026-06-29 07:15,Tier2Tactical,SELL,4065.25,4041.25,24,WIN,0.21,0.001,1
2026-06-29 08:30,Tier2Tactical,BUY,4050.5,4050.5,0,PENDING,0.35,0.001,1
2026-06-29 13:15,Tier2Tactical,SELL,4037.59,4037.59,0,PENDING,0.26,0.001,1
2026-06-29 15:45,Tier2Tactical,SELL,4043.75,4019.75,24,WIN,0.23,0.001,1
2026-06-29 18:30,Tier2Tactical,SELL,4022.88,4022.88,0,PENDING,0.26,0.001,1
2026-06-29 19:15,Tier2Tactical,SELL,4023.79,4023.79,0,PENDING,0.19,0.001,1
2026-06-29 21:30,Tier2Tactical,SELL,4020.89,4020.89,0,PENDING,0.09,0.001,1
2026-06-30 03:06,Tier2Tactical,BUY,4007.83,3987.83,-20,LOSS,0.42,0.001,1
2026-06-30 05:21,Tier2Tactical,SELL,3958.24,3978.24,-20,LOSS,0.51,0.001,1
2026-06-30 08:36,Tier2Tactical,BUY,3978.52,4002.52,24,WIN,0.36,0.001,1
2026-06-30 14:51,Tier2Tactical,SELL,4031.26,4051.26,-20,LOSS,0.21,0.001,1
2026-06-30 22:51,Tier2Tactical,BUY,4019.78,4019.78,0,PENDING,0.19,0.001,1
2026-07-01 03:42,Tier2Tactical,SELL,3996.98,3972.98,24,WIN,0.21,0.001,1
2026-07-01 04:12,Tier2Tactical,SELL,3983.34,3983.34,0,PENDING,0.63,0.001,1
2026-07-01 05:27,Tier2Tactical,BUY,3981.5,3981.5,0,PENDING,0.25,0.001,1
2026-07-01 08:27,Tier2Tactical,BUY,3973.34,3973.34,0,PENDING,0.26,0.001,1
2026-07-01 09:27,Tier2Tactical,BUY,3968.99,3968.99,0,PENDING,0.29,0.001,1
2026-07-01 13:12,Tier2Tactical,SELL,3984.66,4004.66,-20,LOSS,0.16,0.001,1
2026-07-01 15:27,Tier2Tactical,SELL,4029.54,4049.54,-20,LOSS,0.24,0.001,1
2026-07-01 18:42,Tier2Tactical,BUY,4081.36,4061.36,-20,LOSS,0.37,0.001,1
2026-07-02 04:33,Tier2Tactical,BUY,4050.54,4050.54,0,PENDING,0.51,0.001,1
2026-07-02 05:18,Tier2Tactical,BUY,4052.5,4052.5,0,PENDING,0.24,0.001,1
2026-07-02 08:18,Tier2Tactical,SELL,4058.08,4078.08,-20,LOSS,0.31,0.001,1
2026-07-08 17:12,Tier2Tactical,SELL,4062.74,4038.74,24,WIN,0.71,0.001,1
2026-07-08 18:42,Tier2Tactical,BUY,4031.54,4055.54,24,WIN,0.47,0.001,1
2026-07-09 01:18,Tier2Tactical,SELL,4077.11,4077.11,0,PENDING,0.21,0.001,1
2026-07-09 10:48,Tier2Tactical,SELL,4105.7,4105.7,0,PENDING,0.31,0.001,1
