time,tier,direction,entry,exit,pips,result,spread,slippage,in_sample
2026-06-10 03:12,Tier2Tactical,SELL,4221.4,4197.4,24,WIN,0.41,0.001,1
2026-06-11 07:18,Tier2Tactical,SELL,4081.92,4101.92,-20,LOSS,0.37,0.001,1
2026-06-11 09:03,Tier2Tactical,SELL,4088.49,4108.49,-20,LOSS,0.64,0.001,1
2026-06-11 14:03,Tier2Tactical,SELL,4088.4,4064.4,24,WIN,0.3,0.001,1
2026-06-12 02:54,Tier2Tactical,BUY,4216.23,4196.23,-20,LOSS,0.49,0.001,1
2026-06-12 09:09,Tier2Tactical,SELL,4181.69,4201.69,-20,LOSS,0.31,0.001,1
2026-06-12 12:09,Tier2Tactical,SELL,4221.44,4221.44,0,PENDING,0.32,0.001,1
2026-06-24 07:47,Tier2Tactical,SELL,4063.96,4083.96,-20,LOSS,0.25,0.001,0
2026-06-24 18:32,Tier2Tactical,SELL,4007.22,3983.22,24,WIN,0.51,0.001,0
2026-06-25 01:08,Tier2Tactical,SELL,4002.34,4002.34,0,PENDING,0.21,0.001,0
2026-06-25 02:38,Tier2Tactical,SELL,4011.62,3987.62,24,WIN,0.4,0.001,0
2026-06-25 02:53,Tier2Tactical,BUY,4011.94,3991.94,-20,LOSS,0.25,0.001,0
2026-06-25 03:53,Tier2Tactical,SELL,3990.29,3966.29,24,WIN,0.99,0.001,0
2026-06-25 08:08,Tier2Tactical,SELL,3992.67,3992.67,0,PENDING,0.49,0.001,0
2026-06-25 10:08,Tier2Tactical,SELL,3981.17,4001.17,-20,LOSS,0.31,0.001,0
2026-06-25 17:08,Tier2Tactical,SELL,4016.79,4036.79,-20,LOSS,0.71,0.001,0
2026-06-25 19:38,Tier2Tactical,SELL,4032.33,4032.33,0,PENDING,0.28,0.001,0
2026-06-25 20:38,Tier2Tactical,SELL,4032.35,4032.35,0,PENDING,0.2,0.001,0
2026-06-26 11:44,Tier2Tactical,SELL,4031.61,4051.61,-20,LOSS,0.29,0.001,0
2026-06-26 12:29,Tier2Tactical,SELL,4048.37,4048.37,0,PENDING,0.41,0.001,0
2026-06-26 13:29,Tier2Tactical,SELL,4047.92,4047.92,0,PENDING,0.39,0.001,0
2026-06-26 16:29,Tier2Tactical,BUY,4059.45,4083.45,24,WIN,0.76,0.001,0
2026-06-26 19:44,Tier2Tactical,BUY,4085.18,4065.18,-20,LOSS,0.13,0.001,0
2026-06-29 03:50,Tier2Tactical,SELL,4064.73,4064.73,0,PENDING,0.39,0.001,0
2026-06-29 14:20,Tier2Tactical,BUY,4035.63,4015.63,-20,LOSS,0.29,0.001,0
2026-06-29 15:05,Tier2Tactical,SELL,4043.79,4019.79,24,WIN,0.33,0.001,0
2026-06-29 15:20,Tier2Tactical,SELL,4043.47,4019.47,24,WIN,0.36,0.001,0
2026-06-30 03:11,Tier2Tactical,SELL,4007.37,3983.37,24,WIN,0.42,0.001,0
2026-06-30 08:26,Tier2Tactical,SELL,3983.24,4003.24,-20,LOSS,0.43,0.001,0
2026-06-30 12:11,Tier2Tactical,BUY,4020.14,4020.14,0,PENDING,0.1,0.001,0
2026-06-30 12:56,Tier2Tactical,BUY,4021.67,4021.67,0,PENDING,0.21,0.001,0
2026-07-01 05:02,Tier2Tactical,BUY,3977,3977,0,PENDING,0.32,0.001,0
2026-07-01 08:32,Tier2Tactical,BUY,3976.39,3976.39,0,PENDING,0.4,0.001,0
2026-07-01 12:02,Tier2Tactical,BUY,3976.68,4000.68,24,WIN,0.15,0.001,0
2026-07-01 13:32,Tier2Tactical,SELL,3988.67,4008.67,-20,LOSS,0.29,0.001,0
2026-07-01 15:32,Tier2Tactical,SELL,4027.1,4047.1,-20,LOSS,0.46,0.001,0
2026-07-01 20:17,Tier2Tactical,SELL,4070.66,4046.66,24,WIN,0.29,0.001,0
2026-07-01 20:32,Tier2Tactical,BUY,4071.37,4051.37,-20,LOSS,0.21,0.001,0
2026-07-01 22:02,Tier2Tactical,SELL,4064.93,4040.93,24,WIN,0.23,0.001,0
2026-07-02 08:08,Tier2Tactical,SELL,4059.09,4079.09,-20,LOSS,0.31,0.001,0
2026-07-08 12:32,Tier2Tactical,SELL,4052.77,4072.77,-20,LOSS,0.45,0.001,0
2026-07-08 17:47,Tier2Tactical,BUY,4036.77,4060.77,24,WIN,0.43,0.001,0
2026-07-09 02:38,Tier2Tactical,SELL,4075.26,4075.26,0,PENDING,0.09,0.001,0
2026-07-09 04:23,Tier2Tactical,BUY,4073.32,4073.32,0,PENDING,0.47,0.001,0
2026-07-09 04:38,Tier2Tactical,SELL,4072.91,4072.91,0,PENDING,0.32,0.001,0
2026-07-09 07:08,Tier2Tactical,SELL,4061,4081,-20,LOSS,0.16,0.001,0
2026-07-09 07:38,Tier2Tactical,SELL,4061.6,4081.6,-20,LOSS,0.3,0.001,0
2026-07-09 12:38,Tier2Tactical,SELL,4105.45,4105.45,0,PENDING,0.2,0.001,0
