time,tier,direction,entry,exit,pips,result,spread,slippage,in_sample
2026-03-27 07:30,Tier2Tactical,BUY,4441.52,4465.52,24,WIN,0.18,0.001,1
2026-03-27 07:45,Tier2Tactical,BUY,4446.55,4470.55,24,WIN,0.18,0.001,1
2026-03-27 08:30,Tier1Institutional,BUY,4465.85,4445.85,-20,LOSS,0.68,0.001,1
2026-03-27 08:45,Tier1Institutional,SELL,4454.58,4454.58,0,PENDING,0.48,0.001,1
2026-03-27 09:00,Tier1Institutional,BUY,4471.28,4451.28,-20,LOSS,0.67,0.001,1
2026-03-27 11:45,Tier1Institutional,SELL,4424.52,4424.52,0,PENDING,0.38,0.001,1
2026-03-27 12:15,Tier2Tactical,BUY,4434.51,4414.51,-20,LOSS,0.48,0.001,1
2026-03-27 13:30,Tier1Institutional,SELL,4415.98,4435.98,-20,LOSS,0.43,0.001,1
2026-03-27 14:30,Tier2Tactical,BUY,4422.08,4446.08,24,WIN,0.28,0.001,1
2026-06-10 01:42,Tier1Institutional,SELL,4237,4237,0,PENDING,0.4,0.001,1
2026-06-10 02:12,Tier1Institutional,SELL,4225.73,4225.73,0,PENDING,0.32,0.001,1
2026-06-10 03:27,Tier1Institutional,SELL,4205.73,4205.73,0,PENDING,0.51,0.001,1
2026-06-10 03:57,Tier2Tactical,SELL,4200.58,4220.58,-20,LOSS,0.83,0.001,1
2026-06-10 05:27,Tier2Tactical,BUY,4187.9,4187.9,0,PENDING,0.75,0.001,1
2026-06-10 05:42,Tier1Institutional,SELL,4175.63,4195.63,-20,LOSS,0.39,0.001,1
2026-06-10 07:27,Tier2Tactical,SELL,4173.72,4193.72,-20,LOSS,0.22,0.001,1
2026-06-10 08:27,Tier1Institutional,BUY,4196.55,4176.55,-20,LOSS,0.62,0.001,1
2026-06-10 08:42,Tier2Tactical,BUY,4204.42,4184.42,-20,LOSS,0.56,0.001,1
2026-06-10 09:27,Tier2Tactical,SELL,4207.26,4183.26,24,WIN,0.36,0.001,1
2026-06-10 14:57,Tier2Tactical,SELL,4140.46,4160.46,-20,LOSS,0.59,0.001,1
2026-06-10 15:42,Tier1Institutional,SELL,4144.49,4164.49,-20,LOSS,0.81,0.001,1
2026-06-10 17:42,Tier1Institutional,SELL,4127.59,4147.59,-20,LOSS,0.6,0.001,1
2026-06-10 18:12,Tier2Tactical,BUY,4132.03,4112.03,-20,LOSS,0.85,0.001,1
2026-06-10 18:57,Tier2Tactical,BUY,4126.66,4106.66,-20,LOSS,0.71,0.001,1
2026-06-10 19:27,Tier2Tactical,SELL,4124.38,4100.38,24,WIN,0.47,0.001,1
2026-06-10 20:27,Tier2Tactical,SELL,4105.44,4081.44,24,WIN,0.47,0.001,1
2026-06-10 21:57,Tier1Institutional,SELL,4089.8,4039.8,50,WIN,0.32,0.001,1
2026-06-10 22:27,Tier2Tactical,BUY,4089.68,4069.68,-20,LOSS,0.5,0.001,1
2026-06-10 22:57,Tier1Institutional,SELL,4071.18,4071.18,0,PENDING,0.36,0.001,1
2026-06-10 23:12,Tier2Tactical,BUY,4079.64,4059.64,-20,LOSS,0.24,0.001,1
2026-06-10 23:57,Tier1Institutional,SELL,4044.27,4064.27,-20,LOSS,0.27,0.001,1
2026-06-11 01:33,Tier1Institutional,BUY,4064.91,4044.91,-20,LOSS,0.54,0.001,1
2026-06-11 02:03,Tier1Institutional,SELL,4029.62,4049.62,-20,LOSS,0.64,0.001,1
2026-06-11 02:18,Tier1Institutional,BUY,4061.85,4041.85,-20,LOSS,0.63,0.001,1
2026-06-11 03:03,Tier2Tactical,BUY,4070.63,4050.63,-20,LOSS,1.03,0.001,1
2026-06-11 03:48,Tier2Tactical,BUY,4079.46,4103.46,24,WIN,0.54,0.001,1
2026-06-11 04:48,Tier1Institutional,SELL,4095.98,4095.98,0,PENDING,0.68,0.001,1
2026-06-11 05:03,Tier2Tactical,SELL,4088.14,4064.14,24,WIN,0.48,0.001,1
2026-06-11 05:33,Tier1Institutional,SELL,4055.69,4075.69,-20,LOSS,0.69,0.001,1
2026-06-11 06:48,Tier2Tactical,BUY,4074.7,4098.7,24,WIN,0.4,0.001,1
2026-06-11 07:48,Tier2Tactical,SELL,4077.97,4097.97,-20,LOSS,0.4,0.001,1
2026-06-11 08:18,Tier2Tactical,BUY,4089.81,4089.81,0,PENDING,0.36,0.001,1
2026-06-11 08:33,Tier1Institutional,BUY,4101.16,4081.16,-20,LOSS,0.49,0.001,1
2026-06-11 08:48,Tier1Institutional,SELL,4089.13,4109.13,-20,LOSS,0.56,0.001,1
2026-06-11 10:03,Tier2Tactical,BUY,4101.99,4081.99,-20,LOSS,0.43,0.001,1
2026-06-11 10:18,Tier2Tactical,BUY,4108.35,4088.35,-20,LOSS,0.39,0.001,1
2026-06-11 11:03,Tier2Tactical,SELL,4104.52,4080.52,24,WIN,0.5,0.001,1
2026-06-11 11:18,Tier2Tactical,SELL,4095.46,4095.46,0,PENDING,0.24,0.001,1
2026-06-11 12:33,Tier1Institutional,BUY,4096.29,4076.29,-20,LOSS,0.27,0.001,1
2026-06-11 14:33,Tier2Tactical,SELL,4084.79,4060.79,24,WIN,0.35,0.001,1
2026-06-11 15:33,Tier1Institutional,BUY,4080.57,4060.57,-20,LOSS,0.69,0.001,1
2026-06-11 16:03,Tier2Tactical,SELL,4074.93,4094.93,-20,LOSS,0.66,0.001,1
2026-06-11 16:33,Tier1Institutional,BUY,4091.87,4071.87,-20,LOSS,0.73,0.001,1
2026-06-11 18:33,Tier2Tactical,BUY,4089.72,4113.72,24,WIN,0.53,0.001,1
