[AI SEITH] 13:53:52 UTC | Tick#4 | MT5:ONLINE | Price: 4104.175 | HV: 0.00 | Spread: 0.380 | WAITING
[AI SEITH] 13:54:52 UTC | Tick#8 | MT5:ONLINE | Price: 4102.375 | HV: 0.00 | Spread: 0.410 | WAITING
[AI SEITH] 13:55:52 UTC | Tick#12 | MT5:ONLINE | Price: 4100.905 | HV: 0.00 | Spread: 0.410 | WAITING
[AI SEITH] 13:56:52 UTC | Tick#16 | MT5:ONLINE | Price: 4100.955 | HV: 0.00 | Spread: 0.410 | WAITING
[AI SEITH] 13:57:52 UTC | Tick#20 | MT5:ONLINE | Price: 4099.445 | HV: 0.00 | Spread: 0.340 | WAITING
[AI SEITH] 13:58:52 UTC | Tick#24 | MT5:ONLINE | Price: 4098.695 | HV: 0.00 | Spread: 0.470 | WAITING
[AI SEITH] 13:59:52 UTC | Tick#28 | MT5:ONLINE | Price: 4099.675 | HV: 0.00 | Spread: 0.490 | WAITING
[AI SEITH] 14:00:52 UTC | Tick#32 | MT5:ONLINE | Price: 4099.015 | HV: 0.00 | Spread: 0.470 | WAITING
[AI SEITH] 14:01:52 UTC | Tick#36 | MT5:ONLINE | Price: 4099.755 | HV: 0.00 | Spread: 0.330 | WAITING
[AI SEITH] 14:02:52 UTC | Tick#40 | MT5:ONLINE | Price: 4100.475 | HV: 0.00 | Spread: 0.460 | WAITING
[AI SEITH] 14:03:52 UTC | Tick#44 | MT5:ONLINE | Price: 4100.665 | HV: 0.00 | Spread: 0.490 | WAITING
[AI SEITH] 14:04:52 UTC | Tick#48 | MT5:ONLINE | Price: 4101.015 | HV: 0.00 | Spread: 0.180 | WAITING
[AI SEITH] 14:05:52 UTC | Tick#52 | MT5:ONLINE | Price: 4102.765 | HV: 0.00 | Spread: 0.300 | WAITING
[AI SEITH] 14:06:52 UTC | Tick#56 | MT5:ONLINE | Price: 4100.855 | HV: 0.00 | Spread: 0.500 | WAITING
[AI SEITH] 14:07:52 UTC | Tick#60 | MT5:ONLINE | Price: 4102.605 | HV: 0.00 | Spread: 0.350 | WAITING
[AI SEITH] 14:08:52 UTC | Tick#64 | MT5:ONLINE | Price: 4100.725 | HV: 0.00 | Spread: 0.390 | WAITING
[AI SEITH] 14:09:52 UTC | Tick#68 | MT5:ONLINE | Price: 4099.885 | HV: 0.00 | Spread: 0.400 | WAITING
[AI SEITH] 14:10:52 UTC | Tick#72 | MT5:ONLINE | Price: 4101.335 | HV: 0.00 | Spread: 0.350 | WAITING
